Handshake_ID,P-521_Time_ms,P-521_Bytes_Total,2,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,5,mlkem1024_Time_ms,mlkem1024_Bytes_Total
384,6.23,3963.0,,17.2,6732.0,,4.17,6602.0
385,6.08,3963.0,,14.8,6735.0,,6.55,6601.0
386,6.14,3963.0,,14.61,6733.0,,4.48,6602.0
387,1005.79,5225.0,,14.47,6735.0,,4.5,11942.0
388,6.0,3963.0,,15.56,6735.0,,4.75,6602.0
389,6.24,3963.0,,14.31,6734.0,,6.18,6602.0
390,6.24,3963.0,,1014.97,6735.0,,6.08,6602.0
391,6.32,3963.0,,14.34,6734.0,,4.52,6602.0
392,6.12,3963.0,,15.1,6734.0,,4.69,6602.0
393,7.61,3963.0,,15.29,6734.0,,4.67,6602.0
394,7.79,3963.0,,14.56,6735.0,,4.53,16204.0
395,8.1,3963.0,,14.85,17465.0,,5.68,16203.0
396,1005.52,3963.0,,1019.27,6734.0,,7.29,6602.0
397,6.01,5225.0,,1016.89,6733.0,,4.23,6602.0
398,5.96,3963.0,,15.06,6735.0,,5.18,6602.0
399,6.45,6664.0,,14.51,6734.0,,5.05,6602.0
400,7.79,3963.0,,14.22,17680.0,,5.54,6601.0
401,1007.2,3963.0,,20.51,17680.0,,5.6,6602.0
402,5.97,7926.0,,14.52,6735.0,,4.71,6601.0
403,6.24,3963.0,,14.81,6735.0,,5.05,6601.0
404,5.91,3963.0,,14.41,6735.0,,4.46,6601.0
405,6.04,3963.0,,14.73,6734.0,,1012.56,6602.0
406,6.15,3963.0,,14.36,17466.0,,4.67,6601.0
407,5.87,3963.0,,21.95,6733.0,,4.1,6602.0
408,6.14,10627.0,,14.83,6733.0,,4.94,6601.0
409,6.19,3963.0,,17.77,6733.0,,4.18,17464.0
410,6.03,3963.0,,14.66,12206.0,,4.31,6601.0
411,7.85,3963.0,,14.61,6734.0,,1003.69,6601.0
412,8.78,3963.0,,22.34,6734.0,,5.49,6601.0
413,7.4,3963.0,,17.11,6734.0,,4.29,6602.0
414,8.52,5225.0,,18.01,12207.0,,4.16,6602.0
415,6.04,3963.0,,15.28,6735.0,,4.16,6602.0
416,6.0,3963.0,,14.92,6734.0,,4.66,6602.0
417,1006.72,6664.0,,20.6,12207.0,,4.11,6601.0
418,6.0,3963.0,,17.83,6735.0,,5.36,6602.0
419,7.96,3963.0,,19.46,6735.0,,4.11,6602.0
420,6.07,3963.0,,14.94,6734.0,,4.19,6600.0
421,1005.87,3963.0,,14.56,6735.0,,4.12,6602.0
