Handshake_ID,P-521_Time_ms,P-521_Bytes_TCP,P-521_Bytes_TLS,P-521_Bytes_Total,4,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_TCP,p521_mlkem1024_Bytes_TLS,p521_mlkem1024_Bytes_Total,9,mlkem1024_Time_ms,mlkem1024_Bytes_TCP,mlkem1024_Bytes_TLS,mlkem1024_Bytes_Total
98,219.48,412.0,1883.0,2295.0,,27.94,1087.0,5013.0,6100.0,,9.17,412.0,4746.0,5158.0
99,18.11,412.0,1885.0,2297.0,,1059.56,552.0,3565.0,4117.0,,6629.84,478.0,3299.0,3777.0
100,18.38,412.0,1885.0,2297.0,,26.47,412.0,5012.0,5424.0,,1269.22,552.0,3299.0,3851.0
101,18.55,412.0,1883.0,2295.0,,27.23,412.0,5012.0,5424.0,,8.82,346.0,4745.0,5091.0
102,18.01,346.0,1885.0,2231.0,,30.89,2004.0,2335.0,4339.0,,8.71,412.0,4746.0,5158.0
103,18.23,346.0,1885.0,2231.0,,27.16,412.0,5013.0,5425.0,,8.62,412.0,4746.0,5158.0
104,18.24,412.0,1885.0,2297.0,,1485.58,2757.0,2335.0,5092.0,,1072.36,692.0,3299.0,3991.0
105,2081.97,560.0,1884.0,2444.0,,1090.6,552.0,3565.0,4117.0,,9.26,412.0,4747.0,5159.0
106,18.16,412.0,1884.0,2296.0,,239.01,2004.0,2335.0,4339.0,,1056.9,552.0,3298.0,3850.0
107,18.54,412.0,1885.0,2297.0,,27.9,1165.0,5013.0,6178.0,,1012.34,692.0,3298.0,3990.0
108,18.17,412.0,1885.0,2297.0,,29.53,412.0,5011.0,5423.0,,9.25,412.0,4746.0,5158.0
109,18.29,412.0,1884.0,2296.0,,27.98,412.0,5012.0,5424.0,,8.96,412.0,4747.0,5159.0
110,18.63,412.0,1885.0,2297.0,,28.64,412.0,5013.0,5425.0,,9.2,412.0,4747.0,5159.0
111,18.1,412.0,1885.0,2297.0,,28.34,412.0,5013.0,5425.0,,9.42,412.0,4747.0,5159.0
112,18.43,346.0,1885.0,2231.0,,29.86,412.0,5013.0,5425.0,,8.94,412.0,4747.0,5159.0
113,18.46,412.0,1885.0,2297.0,,1238.8,626.0,3565.0,4191.0,,9.35,412.0,4746.0,5158.0
114,18.3,412.0,1885.0,2297.0,,29.06,412.0,5013.0,5425.0,,8.89,412.0,4746.0,5158.0
115,3120.28,634.0,1885.0,2519.0,,1080.38,552.0,3565.0,4117.0,,12.3,2004.0,2202.0,4206.0
116,17.79,412.0,1885.0,2297.0,,27.66,412.0,5012.0,5424.0,,1043.38,552.0,3299.0,3851.0
117,18.11,412.0,1885.0,2297.0,,27.18,412.0,5012.0,5424.0,,8.85,412.0,4747.0,5159.0
118,2046.91,560.0,1885.0,2445.0,,28.24,412.0,5013.0,5425.0,,13.03,412.0,4746.0,5158.0
119,18.46,412.0,1885.0,2297.0,,28.6,412.0,5012.0,5424.0,,10.17,412.0,4747.0,5159.0
120,18.28,412.0,1885.0,2297.0,,31.05,2004.0,2335.0,4339.0,,9.04,412.0,4746.0,5158.0
121,1080.13,626.0,1885.0,2511.0,,29.98,412.0,5013.0,5425.0,,1053.32,692.0,3297.0,3989.0
122,18.05,412.0,1885.0,2297.0,,27.09,412.0,5013.0,5425.0,,13.1,2004.0,2202.0,4206.0
123,17.96,412.0,1885.0,2297.0,,233.98,2004.0,2335.0,4339.0,,12.08,412.0,4746.0,5158.0
124,18.38,412.0,1884.0,2296.0,,27.64,412.0,5012.0,5424.0,,14.84,2546.0,2202.0,4748.0
125,25.23,412.0,1885.0,2297.0,,27.33,412.0,5013.0,5425.0,,1068.23,692.0,3299.0,3991.0
126,1436.83,626.0,1885.0,2511.0,,27.94,1165.0,5012.0,6177.0,,11.7,412.0,4747.0,5159.0
127,221.45,412.0,1884.0,2296.0,,1257.25,478.0,3562.0,4040.0,,9.1,412.0,4747.0,5159.0
128,19.24,412.0,1885.0,2297.0,,27.61,412.0,5012.0,5424.0,,8.79,412.0,4746.0,5158.0
129,20.34,412.0,1884.0,2296.0,,27.44,412.0,5012.0,5424.0,,217.86,478.0,3298.0,3776.0
130,18.9,346.0,1885.0,2231.0,,27.5,412.0,5012.0,5424.0,,13.13,412.0,4747.0,5159.0
131,18.32,412.0,1885.0,2297.0,,1037.15,552.0,3565.0,4117.0,,9.08,412.0,4747.0,5159.0
132,3807.29,412.0,1885.0,2297.0,,31.29,2004.0,2335.0,4339.0,,9.09,346.0,4747.0,5093.0
133,18.58,412.0,1883.0,2295.0,,27.5,412.0,5012.0,5424.0,,1027.02,692.0,3299.0,3991.0
134,19.45,346.0,1884.0,2230.0,,27.15,412.0,5013.0,5425.0,,10.14,412.0,4747.0,5159.0
135,25.08,412.0,1884.0,2296.0,,27.29,412.0,5013.0,5425.0,,1055.37,552.0,3299.0,3851.0
136,24.55,412.0,1884.0,2296.0,,27.48,1165.0,5013.0,6178.0,,1012.99,552.0,3299.0,3851.0
137,19.98,412.0,1885.0,2297.0,,27.4,412.0,5013.0,5425.0,,8.96,412.0,4746.0,5158.0
138,23.53,412.0,1884.0,2296.0,,1036.43,692.0,3564.0,4256.0,,622.72,3721.0,2202.0,5923.0
139,1081.76,626.0,1885.0,2511.0,,27.16,412.0,5012.0,5424.0,,8.97,412.0,4745.0,5157.0
140,18.36,412.0,1885.0,2297.0,,31.08,2757.0,2335.0,5092.0,,1045.45,692.0,3299.0,3991.0
141,224.53,412.0,1885.0,2297.0,,27.25,412.0,5013.0,5425.0,,10.73,412.0,4746.0,5158.0
