Handshake_ID,P-384_Time_ms,P-384_Bytes_TCP,P-384_Bytes_TLS,P-384_Bytes_Total,4,x448_Time_ms,x448_Bytes_TCP,x448_Bytes_TLS,x448_Bytes_Total,9,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_TCP,p384_mlkem768_Bytes_TLS,p384_mlkem768_Bytes_Total,14,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_TCP,x448_mlkem768_Bytes_TLS,x448_mlkem768_Bytes_Total,19,mlkem768_Time_ms,mlkem768_Bytes_TCP,mlkem768_Bytes_TLS,mlkem768_Bytes_Total
128,1020.7,626.0,1703.0,2329.0,,216.33,412.0,1622.0,2034.0,,15.7,412.0,3969.0,4381.0,,6.78,412.0,3886.0,4298.0,,619.64,478.0,3839.0,4317.0
129,9.05,412.0,1703.0,2115.0,,828.51,412.0,1621.0,2033.0,,18.73,2004.0,1915.0,3919.0,,1043.73,692.0,3951.0,4643.0,,4.87,346.0,3775.0,4121.0
130,8.77,412.0,1705.0,2117.0,,5.95,346.0,1623.0,1969.0,,19.67,2004.0,1915.0,3919.0,,6.59,412.0,3886.0,4298.0,,4.65,346.0,3774.0,4120.0
131,9.31,412.0,1704.0,2116.0,,6.99,346.0,1622.0,1968.0,,15.61,412.0,3968.0,4380.0,,6.53,412.0,3885.0,4297.0,,4.96,412.0,3775.0,4187.0
132,8.85,412.0,1703.0,2115.0,,5.61,412.0,1622.0,2034.0,,15.68,667.0,3968.0,4635.0,,6.49,412.0,3886.0,4298.0,,216.12,2737.0,1818.0,4555.0
133,424.97,412.0,1704.0,2116.0,,5.5,412.0,1623.0,2035.0,,4853.82,704.0,3429.0,4133.0,,1026.72,692.0,3953.0,4645.0,,4.98,412.0,3774.0,4186.0
134,8.79,412.0,1705.0,2117.0,,5.55,412.0,1623.0,2035.0,,17.29,745.0,3968.0,4713.0,,1012.55,552.0,3953.0,4505.0,,4.88,346.0,3775.0,4121.0
135,10.44,412.0,1703.0,2115.0,,5.63,412.0,1622.0,2034.0,,16.07,745.0,3969.0,4714.0,,6.61,412.0,3886.0,4298.0,,5.29,412.0,3774.0,4186.0
136,10.3,412.0,1704.0,2116.0,,5.42,346.0,1623.0,1969.0,,16.07,412.0,3968.0,4380.0,,6.64,412.0,3887.0,4299.0,,4.69,412.0,3774.0,4186.0
137,8.92,346.0,1705.0,2051.0,,1069.58,626.0,1622.0,2248.0,,16.05,412.0,3969.0,4381.0,,6.56,412.0,3885.0,4297.0,,1011.0,626.0,3841.0,4467.0
138,8.98,346.0,1704.0,2050.0,,211.07,412.0,1621.0,2033.0,,16.65,412.0,3968.0,4380.0,,6.44,412.0,3885.0,4297.0,,5.0,346.0,3775.0,4121.0
139,8.99,412.0,1704.0,2116.0,,5.51,412.0,1621.0,2033.0,,16.21,412.0,3967.0,4379.0,,6.73,412.0,3886.0,4298.0,,4.83,346.0,3774.0,4120.0
