Handshake_ID,P-521_Time_ms,P-521_Bytes_TCP,P-521_Bytes_TLS,P-521_Bytes_Total,4,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_TCP,p521_mlkem1024_Bytes_TLS,p521_mlkem1024_Bytes_Total,9,mlkem1024_Time_ms,mlkem1024_Bytes_TCP,mlkem1024_Bytes_TLS,mlkem1024_Bytes_Total
152,20.28,412.0,1885.0,2297.0,,26.35,412.0,5014.0,5426.0,,1058.94,552.0,4814.0,5366.0
153,18.76,412.0,1886.0,2298.0,,26.15,412.0,5014.0,5426.0,,1013.34,692.0,4814.0,5506.0
154,21.11,412.0,1885.0,2297.0,,27.05,412.0,5014.0,5426.0,,8.66,412.0,4747.0,5159.0
155,19.27,412.0,1886.0,2298.0,,27.79,412.0,5014.0,5426.0,,8.51,412.0,4748.0,5160.0
156,19.82,412.0,1886.0,2298.0,,28.32,412.0,5013.0,5425.0,,8.35,412.0,4748.0,5160.0
157,19.76,412.0,1886.0,2298.0,,32.17,412.0,5014.0,5426.0,,8.3,412.0,4748.0,5160.0
158,21.09,412.0,1886.0,2298.0,,26.63,412.0,5013.0,5425.0,,8.58,412.0,4748.0,5160.0
159,19.95,412.0,1886.0,2298.0,,26.43,412.0,5014.0,5426.0,,8.62,412.0,4748.0,5160.0
160,1075.24,626.0,1886.0,2512.0,,31.23,3234.0,2335.0,5569.0,,8.38,412.0,4748.0,5160.0
161,19.95,412.0,1886.0,2298.0,,28.37,412.0,5014.0,5426.0,,1014.02,692.0,4814.0,5506.0
162,26.72,412.0,1885.0,2297.0,,29.74,1165.0,5013.0,6178.0,,8.56,412.0,4748.0,5160.0
163,19.75,412.0,1885.0,2297.0,,26.61,412.0,5013.0,5425.0,,8.83,346.0,4747.0,5093.0
164,20.68,412.0,1885.0,2297.0,,28.06,412.0,5013.0,5425.0,,8.62,412.0,4748.0,5160.0
165,20.75,412.0,1885.0,2297.0,,27.47,1165.0,5014.0,6179.0,,8.49,412.0,4748.0,5160.0
166,229.09,412.0,1885.0,2297.0,,28.8,412.0,5014.0,5426.0,,8.51,412.0,4748.0,5160.0
167,25.96,412.0,1886.0,2298.0,,27.76,412.0,5014.0,5426.0,,8.32,412.0,4747.0,5159.0
168,24.6,412.0,1886.0,2298.0,,27.37,412.0,5013.0,5425.0,,8.31,412.0,4748.0,5160.0
169,226.6,2163.0,775.0,2938.0,,1068.36,692.0,5080.0,5772.0,,8.3,412.0,4746.0,5158.0
170,20.23,412.0,1886.0,2298.0,,26.98,1165.0,5014.0,6179.0,,8.35,412.0,4748.0,5160.0
171,226.82,412.0,1885.0,2297.0,,31.07,2004.0,3566.0,5570.0,,8.54,412.0,4747.0,5159.0
172,24.74,412.0,1886.0,2298.0,,26.73,412.0,5014.0,5426.0,,8.32,412.0,4748.0,5160.0
173,20.77,412.0,1885.0,2297.0,,26.95,412.0,5014.0,5426.0,,8.26,412.0,4747.0,5159.0
174,18.87,412.0,1885.0,2297.0,,26.51,412.0,5013.0,5425.0,,8.49,412.0,4747.0,5159.0
175,1051.36,626.0,1886.0,2512.0,,27.5,412.0,5013.0,5425.0,,8.32,412.0,4747.0,5159.0
176,18.23,412.0,1886.0,2298.0,,4622.32,692.0,5080.0,5772.0,,8.34,412.0,4748.0,5160.0
177,17.99,412.0,1886.0,2298.0,,30.13,412.0,5014.0,5426.0,,8.31,412.0,4748.0,5160.0
178,18.46,412.0,1886.0,2298.0,,27.11,412.0,5014.0,5426.0,,8.32,412.0,4748.0,5160.0
179,18.34,412.0,1886.0,2298.0,,1061.3,692.0,5080.0,5772.0,,8.4,412.0,4748.0,5160.0
180,18.53,412.0,1886.0,2298.0,,30.21,412.0,5014.0,5426.0,,8.59,412.0,4748.0,5160.0
181,18.39,412.0,1886.0,2298.0,,28.86,412.0,5014.0,5426.0,,8.34,412.0,4747.0,5159.0
182,18.69,412.0,1885.0,2297.0,,29.83,412.0,5013.0,5425.0,,8.31,412.0,4748.0,5160.0
183,18.21,412.0,1885.0,2297.0,,28.54,412.0,5014.0,5426.0,,8.38,412.0,4748.0,5160.0
184,18.05,412.0,1885.0,2297.0,,28.08,412.0,5014.0,5426.0,,12.77,3101.0,2202.0,5303.0
185,19.03,412.0,1886.0,2298.0,,29.22,412.0,5014.0,5426.0,,9.14,412.0,4748.0,5160.0
186,18.38,412.0,1886.0,2298.0,,29.07,412.0,5014.0,5426.0,,9.1,412.0,4747.0,5159.0
187,18.09,412.0,1885.0,2297.0,,36.58,412.0,5014.0,5426.0,,8.54,412.0,4748.0,5160.0
188,17.98,412.0,1885.0,2297.0,,29.02,412.0,5013.0,5425.0,,12.07,2004.0,3300.0,5304.0
189,18.03,412.0,1886.0,2298.0,,29.64,412.0,5013.0,5425.0,,8.52,412.0,4747.0,5159.0
190,17.84,346.0,1886.0,2232.0,,29.63,412.0,5014.0,5426.0,,8.42,412.0,4747.0,5159.0
191,18.21,412.0,1886.0,2298.0,,1064.19,692.0,5079.0,5771.0,,8.43,412.0,4747.0,5159.0
192,18.43,412.0,1886.0,2298.0,,29.0,412.0,5013.0,5425.0,,1044.89,692.0,4813.0,5505.0
193,18.32,412.0,1886.0,2298.0,,43.23,412.0,5014.0,5426.0,,9.4,412.0,4748.0,5160.0
194,17.94,412.0,1886.0,2298.0,,27.3,412.0,5013.0,5425.0,,8.65,412.0,4747.0,5159.0
195,18.07,412.0,1885.0,2297.0,,29.48,412.0,5014.0,5426.0,,8.58,412.0,4748.0,5160.0
196,17.91,412.0,1886.0,2298.0,,30.54,412.0,5013.0,5425.0,,8.6,412.0,4746.0,5158.0
197,18.07,412.0,1885.0,2297.0,,30.63,412.0,5014.0,5426.0,,8.61,412.0,4748.0,5160.0
198,18.03,412.0,1886.0,2298.0,,31.26,412.0,5014.0,5426.0,,8.49,412.0,4748.0,5160.0
199,18.66,412.0,1885.0,2297.0,,33.43,412.0,5014.0,5426.0,,1028.66,552.0,4813.0,5365.0
200,1035.52,626.0,1885.0,2511.0,,32.9,412.0,5014.0,5426.0,,9.64,412.0,4747.0,5159.0
201,18.51,412.0,1885.0,2297.0,,31.05,412.0,5014.0,5426.0,,8.75,412.0,4747.0,5159.0
202,17.95,412.0,1885.0,2297.0,,29.32,412.0,5013.0,5425.0,,1036.71,692.0,4814.0,5506.0
203,17.92,412.0,1885.0,2297.0,,28.45,412.0,5013.0,5425.0,,8.63,412.0,4747.0,5159.0
204,19.15,412.0,1886.0,2298.0,,28.86,412.0,5013.0,5425.0,,8.42,412.0,4748.0,5160.0
205,23.56,412.0,1886.0,2298.0,,28.84,412.0,5013.0,5425.0,,8.44,412.0,4748.0,5160.0
206,18.56,412.0,1884.0,2296.0,,27.39,412.0,5014.0,5426.0,,8.27,412.0,4748.0,5160.0
207,19.23,412.0,1885.0,2297.0,,28.31,412.0,5014.0,5426.0,,8.37,412.0,4748.0,5160.0
208,19.42,412.0,1886.0,2298.0,,27.77,412.0,5014.0,5426.0,,8.42,412.0,4747.0,5159.0
209,18.79,412.0,1885.0,2297.0,,27.7,412.0,5014.0,5426.0,,8.39,412.0,4747.0,5159.0
210,18.84,412.0,1886.0,2298.0,,29.52,412.0,5014.0,5426.0,,8.38,412.0,4748.0,5160.0
211,18.79,412.0,1885.0,2297.0,,34.89,412.0,5013.0,5425.0,,8.59,412.0,4748.0,5160.0
212,18.71,412.0,1886.0,2298.0,,28.66,412.0,5014.0,5426.0,,8.46,412.0,4748.0,5160.0
213,18.3,412.0,1885.0,2297.0,,27.83,412.0,5014.0,5426.0,,8.56,412.0,4748.0,5160.0
214,18.79,412.0,1885.0,2297.0,,26.98,412.0,5014.0,5426.0,,8.46,412.0,4748.0,5160.0
215,18.22,412.0,1885.0,2297.0,,27.4,412.0,5013.0,5425.0,,8.45,412.0,4747.0,5159.0
