Handshake_ID,P-384_Time_ms,P-384_Bytes_TCP,P-384_Bytes_TLS,P-384_Bytes_Total,4,x448_Time_ms,x448_Bytes_TCP,x448_Bytes_TLS,x448_Bytes_Total,9,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_TCP,p384_mlkem768_Bytes_TLS,p384_mlkem768_Bytes_Total,14,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_TCP,x448_mlkem768_Bytes_TLS,x448_mlkem768_Bytes_Total,19,mlkem768_Time_ms,mlkem768_Bytes_TCP,mlkem768_Bytes_TLS,mlkem768_Bytes_Total
59,8.86,412.0,1703.0,2115.0,,213.94,412.0,1622.0,2034.0,,1036.74,692.0,4034.0,4726.0,,6.57,412.0,3886.0,4298.0,,214.12,478.0,3840.0,4318.0
60,8.77,412.0,1705.0,2117.0,,5.55,412.0,1622.0,2034.0,,18.64,745.0,3968.0,4713.0,,6.76,346.0,3886.0,4232.0,,6.27,412.0,3774.0,4186.0
61,8.85,412.0,1704.0,2116.0,,213.99,412.0,1622.0,2034.0,,16.19,412.0,3968.0,4380.0,,6.46,412.0,3886.0,4298.0,,6.11,412.0,3775.0,4187.0
62,9.21,412.0,1704.0,2116.0,,7.05,412.0,1621.0,2033.0,,17.63,745.0,3969.0,4714.0,,6.58,346.0,3885.0,4231.0,,4.95,412.0,3774.0,4186.0
63,1066.62,626.0,1704.0,2330.0,,5.6,412.0,1622.0,2034.0,,16.67,412.0,3968.0,4380.0,,7.07,346.0,3886.0,4232.0,,420.74,478.0,3840.0,4318.0
64,1226.08,560.0,1704.0,2264.0,,5.63,412.0,1622.0,2034.0,,16.36,412.0,3968.0,4380.0,,7.65,412.0,3886.0,4298.0,,5.05,412.0,3775.0,4187.0
65,8.81,412.0,1704.0,2116.0,,1062.1,626.0,1622.0,2248.0,,17.47,412.0,3967.0,4379.0,,1036.74,692.0,3953.0,4645.0,,5.86,412.0,3774.0,4186.0
66,9.03,412.0,1705.0,2117.0,,5.71,412.0,1622.0,2034.0,,18.06,412.0,3967.0,4379.0,,8.86,412.0,3886.0,4298.0,,5.49,412.0,3773.0,4185.0
67,8.9,412.0,1704.0,2116.0,,1059.81,626.0,1623.0,2249.0,,16.46,412.0,3968.0,4380.0,,1059.26,692.0,3952.0,4644.0,,4.97,412.0,3773.0,4185.0
68,213.4,412.0,1704.0,2116.0,,7.11,412.0,1621.0,2033.0,,1045.38,552.0,4034.0,4586.0,,10.78,2004.0,2437.0,4441.0,,4.91,346.0,3774.0,4120.0
