P-521,p521_mlkem1024,mlkem1024
8.14,16.24,6.36
7.79,18.43,8.39
8.07,17.4,6.22
8.05,16.81,6.83
7.8,19.62,6.19
8.1,18.6,6.75
8.27,16.61,6.36
7.95,18.64,6.16
7.81,16.43,6.73
7.95,16.81,6.0
7.86,24.03,6.05
8.13,16.68,6.79
8.07,16.66,5.98
8.05,18.06,5.97
8.04,17.36,6.04
8.15,16.56,6.26
8.23,17.0,5.86
7.99,18.18,6.05
8.16,17.32,6.08
7.84,21.08,5.91
9.91,18.08,5.95
8.05,17.32,6.38
8.09,16.84,6.02
8.15,16.27,6.06
8.13,17.21,5.87
7.88,17.3,6.04
7.8,16.95,6.23
8.08,18.23,8.1
8.07,21.23,6.3
8.13,18.01,6.25
8.24,17.56,6.37
