Handshake_ID,P-384_Time_ms,P-384_Bytes_TCP,P-384_Bytes_TLS,P-384_Bytes_Total,4,x448_Time_ms,x448_Bytes_TCP,x448_Bytes_TLS,x448_Bytes_Total,9,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_TCP,p384_mlkem768_Bytes_TLS,p384_mlkem768_Bytes_Total,14,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_TCP,x448_mlkem768_Bytes_TLS,x448_mlkem768_Bytes_Total,19,mlkem768_Time_ms,mlkem768_Bytes_TCP,mlkem768_Bytes_TLS,mlkem768_Bytes_Total
66,212.96,412.0,1703.0,2115.0,,1061.3,626.0,1621.0,2247.0,,1075.28,692.0,4033.0,4725.0,,1421.07,2218.0,2435.0,4653.0,,8.62,2746.0,1818.0,4564.0
67,8.73,412.0,1702.0,2114.0,,5.59,412.0,1620.0,2032.0,,1077.3,692.0,4031.0,4723.0,,7.0,412.0,3883.0,4295.0,,5.1,346.0,3772.0,4118.0
68,9.13,412.0,1703.0,2115.0,,5.32,412.0,1621.0,2033.0,,1275.63,692.0,4033.0,4725.0,,6.46,346.0,3883.0,4229.0,,5.0,412.0,3773.0,4185.0
69,1049.95,626.0,1702.0,2328.0,,5.45,412.0,1620.0,2032.0,,16.12,745.0,3967.0,4712.0,,6.36,412.0,3883.0,4295.0,,218.45,2734.0,1818.0,4552.0
70,12.0,346.0,1703.0,2049.0,,5.42,412.0,1620.0,2032.0,,16.39,412.0,3965.0,4377.0,,1061.1,692.0,3951.0,4643.0,,5.12,412.0,3771.0,4183.0
71,12.11,412.0,1702.0,2114.0,,1012.73,486.0,1620.0,2106.0,,16.16,412.0,3965.0,4377.0,,6.55,412.0,3885.0,4297.0,,4.99,412.0,3772.0,4184.0
72,218.47,2046.0,739.0,2785.0,,5.44,412.0,1621.0,2033.0,,16.11,412.0,3967.0,4379.0,,1264.51,486.0,3949.0,4435.0,,1262.08,704.0,3839.0,4543.0
73,9.61,412.0,1703.0,2115.0,,209.78,412.0,1621.0,2033.0,,1228.21,704.0,4032.0,4736.0,,6.56,412.0,3885.0,4297.0,,4.93,412.0,3772.0,4184.0
74,12.03,346.0,1702.0,2048.0,,5.33,346.0,1620.0,1966.0,,1066.45,552.0,4033.0,4585.0,,6.39,412.0,3885.0,4297.0,,4.96,412.0,3772.0,4184.0
75,9.06,412.0,1702.0,2114.0,,5.43,346.0,1620.0,1966.0,,1077.5,692.0,4032.0,4724.0,,6.43,346.0,3884.0,4230.0,,4.95,346.0,3772.0,4118.0
76,1258.38,626.0,1701.0,2327.0,,1063.44,420.0,1620.0,2040.0,,16.13,412.0,3965.0,4377.0,,1011.05,692.0,3950.0,4642.0,,4.99,412.0,3772.0,4184.0
77,1057.05,626.0,1703.0,2329.0,,1014.73,626.0,1620.0,2246.0,,4636.12,552.0,4033.0,4585.0,,6.6,412.0,3884.0,4296.0,,4.92,346.0,3773.0,4119.0
78,1217.2,626.0,1701.0,2327.0,,7.21,412.0,1620.0,2032.0,,1276.15,704.0,4032.0,4736.0,,1264.25,692.0,3951.0,4643.0,,4.93,412.0,3772.0,4184.0
79,8.86,412.0,1701.0,2113.0,,5.93,412.0,1620.0,2032.0,,17.72,745.0,3966.0,4711.0,,6.41,412.0,3885.0,4297.0,,4.87,412.0,3771.0,4183.0
80,9.31,412.0,1702.0,2114.0,,1038.36,486.0,1621.0,2107.0,,18.79,412.0,3965.0,4377.0,,6.54,412.0,3883.0,4295.0,,5.18,346.0,3771.0,4117.0
81,9.7,412.0,1702.0,2114.0,,5.9,412.0,1621.0,2033.0,,18.05,412.0,3966.0,4378.0,,6.29,412.0,3884.0,4296.0,,4.95,412.0,3771.0,4183.0
82,215.01,1980.0,739.0,2719.0,,5.45,412.0,1621.0,2033.0,,21.39,2004.0,2517.0,4521.0,,9.64,2857.0,1874.0,4731.0,,1258.58,704.0,3839.0,4543.0
